,Country,latitude,longitude,GeoCountryName
112,New Zealand,-41.50008392,172.83441162,New Zealand
113,Myanmar,21.17757607,96.51698303,Myanmar
114,Kazakstan,48.10129547,66.7780838,Kazakhstan
115,Burundi,-3.42644906,29.93245125,Burundi
116,Sao Tome & Principe,1.61556602,7.39688301,"Autonomous Region of Príncipe, São Tomé and Príncipe"
117,Saint Martin,18.06367874,-63.05060196,
118,Cook Islands,-21.2347126,-159.77796936,Cook Islands
119,Wallis & Futuna Is.,-13.28507519,-176.20457458,"Uvea, Wallis and Futuna"
120,France,46.62480927,2.45837402,France
121,Australia,-25.72810364,134.4901886,Australia
122,Nigeria,9.60003567,7.99997187,Nigeria
123,Nicaragua,12.84435272,-85.0319519,Nicaragua
124,Singapore,1.28943598,103.84998322,"Singapore, Singapore"
125,Azerbaijan,40.39363098,47.78725052,Azerbaijan
126,Cyprus,34.98230362,33.14513016,Cyprus
127,Switzerland,46.80123901,8.23096561,Switzerland
128,Turkmenistan,39.37638092,59.39245987,Turkmenistan
129,Pitcairn,-25.0657711,-130.10177612,Pitcairn Islands
130,Saudi Arabia,24.12628174,44.54819489,Saudi Arabia
131,Malawi,-13.26872063,33.93019485,Malawi
132,Sierra Leone,8.64003468,-11.84002686,Sierra Leone
133,Yemen,16.3471241,47.89152527,Yemen
134,Maldives,-0.61074799,73.09101868,Maldives
135,Bosnia & Herzegovina,43.47694016,17.81500053,"BH, Bosnia and Herzegovina"
136,Viet Nam,13.4233942,108.25662231,Vietnam
137,Turks & Caicos Is.,21.72174644,-71.55278015,Turks and Caicos Islands
138,Mexico,23.93359184,-102.50969696,Mexico
139,Finland,64.51977539,26.28276443,Finland
140,Niger,17.7356205,9.323843,Niger
141,Belize,17.19834137,-88.70926666,Belize
142,Senegal,14.47506046,-14.45296097,Senegal
143,Armenia,40.76962662,44.67366409,Armenia
144,Chad,15.61341381,19.01561737,Chad
145,Bolivia,-17.05686951,-64.9912262,Bolivia
146,Faeroe Islands,22.26114082,113.94608307,"The Islands District, Hong Kong SAR"
147,French West Indies,16.25006866,-61.5639267,"Baie-Mahault, Guadeloupe"
148,Malaysia,3.602458,114.70449066,Malaysia
149,Georgia,32.64828873,-83.44437408,"GA, United States"
150,Netherlands Antilles,52.24563217,5.62691879,Netherlands
151,St.Pierre & Miquelon,46.77796555,-56.17831421,"St-Pierre, Saint Pierre and Miquelon"
152,Hong Kong,22.42118263,114.16609955,Hong Kong SAR
153,Tuvalu,-7.49404716,178.68199158,Tuvalu
154,Suriname,4.14130306,-56.07711792,Suriname
155,Cocos (Keeling) Is.,-12.01200008,96.84459686,Cocos (Keeling) Islands
156,Angola,-11.87757683,17.56912422,Angola
157,Slovenia,46.11947632,14.82200336,Slovenia
158,Guyana,4.84171009,-58.6416893,Guyana
159,Uzbekistan,41.32373047,63.95280838,Uzbekistan
160,Ukraine,49.01005936,31.39693832,Ukraine
161,India,22.35251045,79.36368561,India
162,Peru,-6.86996984,-75.04585266,Peru
163,New Caledonia,-21.30199051,165.48808289,New Caledonia
164,Bulgaria,42.75815964,25.23507118,Bulgaria
165,Argentina,-34.99649811,-64.96728516,Argentina
166,Reunion,-21.13310814,55.53238678,Reunion
167,Bermuda,32.29401016,-64.78716278,Bermuda
168,United States Minor Outlying Islands,27.83659935,-82.36049652,"Minor, FL, United States"
169,Thailand,15.13178921,101.01837921,Thailand
170,Falkland Islands (Islas Malvinas),-51.74083328,-58.75432587,Falkland Islands
171,Romania,45.83976746,24.98456573,Romania
172,Samoa,-13.62080574,-172.44734192,Samoa
173,Morocco,31.17282104,-7.33624792,Morocco
174,Algeria,28.0000267,2.99998307,Algeria
175,Gambia,13.47006226,-15.49004745,The Gambia
176,Lebanon,33.92221069,35.89535522,Lebanon
177,Syrian Arab Republic,34.64018631,39.04941177,Syria
178,Cape Verde,15.08353901,-23.62466812,Cape Verde
179,Egypt(U.A.R.),26.50224686,29.8741188,Egypt
180,Dominica,15.41131401,-61.36536026,Dominica
181,Bangladesh,23.87430954,90.25627899,Bangladesh
182,"Korea, Republic of",36.43822861,127.83287048,South Korea
183,Jamaica,18.23600006,-77.36399841,Jamaica
184,"Micronesia,F.States",6.88110924,158.22673035,Federated States of Micronesia
185,Botswana,-23.16817856,24.59287453,Botswana
186,Guatemala,15.69590664,-90.35707092,Guatemala
187,Macao,22.13883591,113.57136536,Macao SAR
188,Puerto Rico,18.21738625,-66.36221313,Puerto Rico
189,Johnston Island,16.73224258,-169.53010559,Johnston Atoll
190,Equatorial Guinea,1.61317205,10.51703453,Equatorial Guinea
191,Iran ( Islamic R.),32.6475296,54.56435013,Iran
192,Brunei Darussalam,4.49613094,114.62987518,Brunei
193,Tajikistan,38.62817383,70.81565094,Tajikistan
194,Guam,13.44999409,144.76516724,Guam
195,Netherlands,52.24563217,5.62691879,Netherlands
196,China,36.55937195,103.7533493,China
197,"Virgin Islands, U.S.",,,
198,Czech Republic,49.73923874,15.3317976,Czechia
199,South Georgia and the South Sandwich Islands,-54.37740326,-36.68516541,South Georgia And South Sandwich Islands
200,Antigua and Barbuda,17.64046288,-61.82551956,"Barbuda, Antigua and Barbuda"
201,Mayotte,-12.82307053,45.14413071,Mayotte
202,Trinidad and Tobago,10.74669075,-61.08400726,Trinidad and Tobago
203,Aruba,12.5013628,-69.9618454,Aruba
204,Heard/Mac Donald Is.,-53.03899002,72.59951019,Heard Island and McDonald Islands
205,Canada,62.57421112,-96.60791016,Canada
206,Ecuador,-1.33976698,-79.36669922,Ecuador
207,Mongolia,46.83492661,103.06755066,Mongolia
208,Mozambique,-19.30223274,34.91449738,Mozambique
209,Somalia,8.36767673,49.08341599,Somalia
210,Canary Islands,28.29052353,-16.55661964,"Canary Islands, Spain"
211,Croatia,45.14022827,16.42813301,Croatia
212,Togo,8.78002644,1.01997602,Togo
213,Kyrgyzstan/Kyrgyz R.,42.48582077,74.71458435,"Chuy Region, Kyrgyzstan"
214,Guinea-Bissau,12.10003471,-14.90002155,Guinea-Bissau
215,Barbados,13.150033,-59.52503204,Barbados
216,Luxembourg,49.77682495,6.09239101,Luxembourg
217,Jordan,31.16670418,36.9416275,Jordan
218,Marshall Islands,7.0934391,171.12033081,Marshall Islands
219,Monaco,43.73238754,7.41794491,Monaco
220,Cameroon,4.61255217,13.15358067,Cameroon
221,Guadeloupe,16.252882,-61.56868362,Guadeloupe
222,Dominican Republic,19.09740257,-70.30280304,Dominican Republic
223,Grenada,12.13603783,-61.69040298,Grenada
224,Russian Federation,61.66702652,99.09856415,Russia
225,U.S.America,43.5286026,-99.19061279,"America, SD, United States"
226,Cambodia,12.71154022,104.91756439,Cambodia
227,Belgium,50.64095688,4.66128588,Belgium
228,Montserrat,16.74170494,-62.19168472,Montserrat
229,San Marino,43.93825912,12.46324444,San Marino
230,"Congo, Republic of",-0.72643298,15.64191532,Republic of the Congo
231,Lao People's D.R.,18.49440193,103.76933289,Laos
232,Sudan,14.58444405,29.49176979,Sudan
233,Western Saharae,24.17973328,-13.76678467,"Western Sahara, Morocco"
234,St. Lucia,13.82504845,-60.97503662,Saint Lucia
235,Holy See,41.90338135,12.45298576,Vatican City
236,Turkey,38.98909378,35.43323517,Türkiye
237,Oman,21.00002861,57.00368881,Oman
238,South Africa,-28.99632072,25.08714294,South Africa
239,"Venezuela,Bolivar. R",10.20681,-67.42,"Autopista Regional del Centro, Bolívar, Aragua, Venezuela"
240,Greenland,74.75653076,-41.39344025,Greenland
241,Djibouti,11.81459618,42.8453064,Djibouti
242,French Guiana,4.00398779,-52.99999619,French Guiana
243,Zambia,-14.51891232,27.55898857,Zambia
